wienerW1,wienerW2,apodizationRadius,hifiDenominatorScaleW1,hifiDenominatorScaleW2,score,expandedToCenterRms,sidebandMeanToCenterRms,sidebandMinToCenterRms,sidebandBalance,totalEnergyRatioToInput,p99GainRatioToInput
0.2,0.015,1.75,0.8,1.2,1.05827600090122,0.238444831773229,0.261842098047411,0.255808766996465,0.976958132034774,0.280438748769231,0.299940661758447
0.15,0.04,1,0.8,1,1.05822122328086,0.243565277307386,0.269972907382265,0.264227043129471,0.9787168856738,0.416643145574657,0.376126937826826
0.2,0.015,1,1,0.8,1.05799201831057,0.240965026086406,0.26568466330757,0.25976625489192,0.977723936557079,0.409721446287902,0.367558269715534
0.15,0.1,1.25,1,1.2,1.05734526402309,0.18999614574501,0.210729832950847,0.206213767844423,0.978569407837579,0.181657402663056,0.206587690194487
0.2,0.04,1,1,1,1.05704442281135,0.190010732318004,0.210591335840518,0.20609390768447,0.978643812015828,0.257324412705905,0.238416594778333
0.2,0.02,1.25,1,0.8,1.05666012549981,0.242170151137721,0.267112897654092,0.261183712419487,0.977802699582543,0.410001474385754,0.368763750970282
0.2,0.06,1,1.2,1.2,1.05649671514793,0.189322271840857,0.210086270302,0.205633348171583,0.978804316321974,0.125035183427887,0.167818666086334
0.15,0.03,1.25,0.6,1.2,1.05576877734042,0.240885180907098,0.266034401141848,0.260194157811777,0.978047037131273,0.507633768628925,0.407690587586105
0.2,0.015,0.75,1.2,1,1.0553023898126,0.244147801953052,0.269826054745079,0.263934742298305,0.978166258064515,0.183930850455058,0.249862300606705
0.2,0.03,1.75,1,1.2,1.05479545395554,0.243486176202951,0.268545755898753,0.26258190913982,0.977792064748991,0.182338873943982,0.246497241119679
0.15,0.06,1,1,1.2,1.05428831207936,0.244648400777322,0.271548753309487,0.265824463847797,0.97891984628202,0.18644148419806,0.254764927813758
0.2,0.04,0.75,1.2,1,1.05400512326475,0.187354201408364,0.208348480065421,0.204033062698568,0.979287502527026,0.180132429530665,0.197324905537572
0.2,0.06,1.5,1.2,0.8,1.05393544099181,0.188677984640891,0.208962011163319,0.204440608189158,0.978362560022325,0.28087435043023,0.252813682791574
0.2,0.06,1.75,1,1.2,1.05374190262203,0.18892103355494,0.20900208034934,0.204448358845995,0.978212075708848,0.178440344277111,0.200085761306415
0.15,0.1,1.75,1.2,0.8,1.05349339672849,0.188453185007549,0.208739348260254,0.204203539730181,0.978270467126216,0.283664191454501,0.257907042024503
0.2,0.03,1.25,0.8,1,1.05304916104346,0.188921206704685,0.208751315377368,0.204180010238786,0.978101670256217,0.396715953587673,0.292098235618988
0.15,0.04,0.75,1,1,1.05296678636641,0.245068963083067,0.272508719161553,0.266878146926546,0.979338010716388,0.268741736770219,0.30416156492016
0.2,0.04,1.75,0.8,1.2,1.05201009285135,0.188530466037363,0.208235072216473,0.203654197412945,0.978001425241348,0.275409021157294,0.244082822642805
0.2,0.04,1.75,1.2,1,1.05178125620633,0.245164910663564,0.270963771912799,0.265045816966808,0.978159608185938,0.184050754424864,0.251196986315162
0.15,0.1,1.75,1,1,1.05136118010155,0.187422279238363,0.207579500289063,0.203068210593409,0.978267171424096,0.260856552984596,0.245849825995373
0.2,0.03,1,1.2,1.2,1.05012303847895,0.24562826865718,0.271677475741182,0.265791711863551,0.978335473481657,0.127850895519686,0.208581523915534
0.2,0.015,1.75,0.6,1.2,1.04842192229811,0.188968786242987,0.20755504611953,0.202776654510897,0.976977714115023,0.478868588120168,0.318995302928539
0.2,0.03,0.75,1,1.2,1.04827996864098,0.185296608299421,0.205649934709912,0.20131854929174,0.978938065678058,0.178496127629935,0.192987838662259
0.2,0.015,1,1,1,1.04770089355096,0.246121974736868,0.271164360988664,0.265085480336982,0.977582302373663,0.262743873371624,0.299860238733691
0.15,0.06,1.25,0.6,1.2,1.04758578513213,0.186590118104541,0.206712165936932,0.202263905047479,0.97848089458455,0.496925414887809,0.330711074691625
0.15,0.06,0.75,0.8,1.2,1.04697140757327,0.18387706926166,0.204735997850866,0.200529644230074,0.979454743352674,0.282756376314241,0.245678272746731
0.2,0.03,1.25,1.2,0.8,1.04668707768762,0.246506962490723,0.27256120326957,0.266637335553818,0.978265917362081,0.287770765934655,0.31392668493853
